,item, price ,url
194,Black & Decker CS1000 Circular Saw, $30.00 ,https://toronto.craigslist.org/tor/tls/d/toronto-black-decker-cs1000-circular-saw/6783118283.html
195,NEW 2 Gallon Powermate Side Stack Air Compressor Combo Kit, $135.00 ,https://toronto.craigslist.org/tor/tls/d/toronto-new-2-gallon-powermate-side/6783117456.html
196,Black & Decker 148581 Battery Charger Adapter 6.7V DC 200mA, $20.00 ,https://toronto.craigslist.org/tor/tls/d/black-deckerbattery-charger-adapter-67v/6796426917.html
197,"3"" X 21"" Variable Speed Belt Sander", $60.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-3-21-variable-speed-belt/6796288356.html
198,BRAND NEW SUPER FLASHLIGHT W/ZOOM CREE XM-L T6BULB-G700, $40.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-super-flashlight/6796285493.html
199,Brand New Mini grease gun, $13.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-mini-grease-gun/6796288130.html
200,50pc Dust Masks, $6.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-50pc-dust-masks/6796285250.html
201,"compressor, Motomaster brand new", $150.00 ,https://toronto.craigslist.org/tor/tls/d/etobicoke-compressor-motomaster-brand/6796256576.html
202,Band new EGO 56V Power Battery, $150.00 ,https://toronto.craigslist.org/oak/tls/d/oakville-band-new-ego-56v-power-battery/6796238856.html
203,Brand new DeWalt DCB112 dual voltage Lithium-Ion Battery Charger, $40.00 ,https://toronto.craigslist.org/tor/tls/d/toronto-brand-new-dewalt-dcb112-dual/6794329257.html
204,Bosch 1033VSR 8 Amp 1/2-Inch Drill with Variable Speed, $75.00 ,https://toronto.craigslist.org/drh/tls/d/bosch-1033vsr-8-amp-1-2-inch-drill-with/6796096591.html
205,"SNAP ON 3/8 drive Socket Set deep 6-Point 11pc 1/4""--7/8""", $175.00 ,https://toronto.craigslist.org/drh/tld/d/snap-on-3-8-drive-socket-set-deep-6/6796096694.html
206,pro vision 300 bore scope, $45.00 ,https://toronto.craigslist.org/drh/tls/d/oshawa-pro-vision-300-bore-scope/6796096044.html
