,item,price,url
1047,New In Box Victorinox Swisstool Spirit Plus Ratchet Bit Set,$0.00,https://toronto.craigslist.org/mss/tls/d/new-in-box-victorinox-swisstool-spirit/6748887889.html
1048,Excellent Condition Leatherman Skeletool Multitool,$0.00,https://toronto.craigslist.org/mss/tls/d/excellent-condition-leatherman/6748890324.html
1049,Kensington LCD monitor arm with smartfit system,$0.00,https://toronto.craigslist.org/tor/sop/d/kensington-lcd-monitor-arm-with/6772644147.html
1050,Mint Condition Leatherman Crunch Multi tool,$0.00,https://toronto.craigslist.org/tor/tls/d/etobicoke-mint-condition-leatherman/6748890725.html
1051,Great Christmas present for that 'hard to get for' guy,$30,https://toronto.craigslist.org/tor/for/d/york-great-christmas-present-for-that/6774067474.html
1052,"Brand New King Canada 10"" Portable Worksite Table Saw",$250,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-king-canada-10/6771694661.html
1053,BRAND NEW SCALE W/ TAPE 80LBS/35KGS,$9,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-scale-tape-80lbs/6771685260.html
1054,Brand New Wood Moisture Meter,$30,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-wood-moisture-meter/6771685541.html
1055,50 Pcs Screwdriver And Bits Kit,$25,https://toronto.craigslist.org/tor/tld/d/north-york-50-pcs-screwdriver-and-bits/6771685839.html
1056,Brand New Hybrid Polymer industrial air hose,$20,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-hybrid-polymer/6771686138.html
1057,BRAND NEW 12PCS SAFETY SET,$8,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-12pcs-safety-set/6771686446.html
1058,Manual Hand Pressure Corker Cork Wine Bottle Corking Inserting Stopper,$95,https://toronto.craigslist.org/drh/ele/d/ajax-manual-hand-pressure-corker-cork/6773796368.html
1059,honda accord single zone ac controls gps bt android dvd player,$699,https://toronto.craigslist.org/tor/ptd/d/unionville-honda-accord-single-zone-ac/6776735102.html
1060,"3 in 1 Quality Avocado Slicer-Peeler, Easy & Safe to Use!",$0.00,https://toronto.craigslist.org/mss/hsh/d/mississauga-3-in-1-quality-avocado/6776264301.html
1061,Large Metal Dog Crate,$100,https://toronto.craigslist.org/tor/fuo/d/toronto-large-metal-dog-crate/6773497260.html
1062,Crown Berkey Water Filter,$419,https://toronto.craigslist.org/yrk/mad/d/crown-berkey-water-filter/6776048289.html
1063,"2-person Dorm / AirBnB inventory: Bed, Furniture, Kitchenware",$400,https://toronto.craigslist.org/tor/fuo/d/toronto-2-person-dorm-airbnb-inventory/6775541903.html
1064,NORTH YORK ESTATE SALE,$0.00,https://toronto.craigslist.org/tor/gms/d/north-york-north-york-estate-sale/6773093114.html
1065,Custom Popsockets for Phones,$1,https://toronto.craigslist.org/tor/mob/d/york-custom-popsockets-for-phones/6775226339.html
1066,Record #53 Vise,$225,https://toronto.craigslist.org/tor/tls/d/toronto-record-53-vise/6771362304.html
1067,Bow Rake with Wooden Handle,$13,https://toronto.craigslist.org/tor/grq/d/north-york-bow-rake-with-wooden-handle/6772510280.html
1068,"6""X1-1/2""TIRE 70LB/LOAD",$8,https://toronto.craigslist.org/tor/hsd/d/north-york-6x1-1-2tire-70lb-load/6772501581.html
1069,Crown Berkey Water Filter,$419,https://toronto.craigslist.org/yrk/mad/d/crown-berkey-water-filter/6774402966.html
1070,makita 18 v cordless bandsaw blades,$45,https://toronto.craigslist.org/tor/tls/d/north-york-makita-18-cordless-bandsaw/6750015493.html
1071,Vintage 1980s Disney Bully Duck Tales Figurines,$35,https://toronto.craigslist.org/tor/tag/d/toronto-vintage-1980s-disney-bully-duck/6774211824.html
1072,Vintage Bassett Golfaide golf divot tool with TRW Vidar Advertising,$15,https://toronto.craigslist.org/tor/clt/d/vintage-bassett-golfaide-golf-divot/6774168890.html
1073,StarTech.com 2.5-Inch to 3.5-Inch SATA SSD/HDD 25SAT35HDD,$15,https://toronto.craigslist.org/tor/sop/d/markham-startechcom-25-inch-to-35-inch/6755547838.html
1074,"FREE SHIPPING!!! KAKA Industrial12-Inch Slip Roll Machine, 22 Gauge",$199,https://toronto.craigslist.org/drh/tld/d/burnaby-free-shipping-kaka-industrial12/6749173672.html
1075,Apogee Symphony I/O MKI [16x16],$2500,https://toronto.craigslist.org/yrk/msg/d/concord-apogee-symphony-o-mki-16x16/6750809989.html
1076,Apogee Symphony I/O MKI [16x16],$2500,https://toronto.craigslist.org/yrk/ele/d/concord-apogee-symphony-o-mki-16x16/6750812886.html
1077,Crown Berkey Water Filter,$419,https://toronto.craigslist.org/yrk/mad/d/crown-berkey-water-filter/6773544278.html
1078,Impact Wrench - CP-7769,$250,https://toronto.craigslist.org/mss/tls/d/mississauga-impact-wrench-cp-7769/6771063137.html
1079,"BRAND NEW 10"" MEAT SAW WITH GRINDER",$400,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-10-meat-saw-with/6770928689.html
1080,Impact Wrench - CP-7769,$250,https://toronto.craigslist.org/mss/tls/d/mississauga-impact-wrench-cp-7769/6771063137.html
1081,"BRAND NEW 10"" MEAT SAW WITH GRINDER",$400,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-10-meat-saw-with/6770928689.html
1082,12V Li-ion Cordless Impact Driver Kit,$80,https://toronto.craigslist.org/tor/tld/d/north-york-12v-li-ion-cordless-impact/6770907806.html
1083,Brand New 2-Shelf Red Service Cart,$70,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-2-shelf-red/6770908096.html
1084,Brand New Auto Flaring Double Tool Kit,$35,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-auto-flaring/6770908479.html
1085,"Brand New PEX Crimper 1/2"" or 3/4""",$0.00,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-pex-crimper-1-2-or/6770909129.html
1086,Crown Berkey Water Filter,$419,https://toronto.craigslist.org/drh/mad/d/crown-berkey-water-filter/6773061395.html
1087,"Manual woodworking tools - jointer planers Stanley, Craftsman",$45,https://toronto.craigslist.org/mss/tls/d/manual-woodworking-tools-jointer/6770888219.html
1088,Crown Berkey Water Filter,$419,https://toronto.craigslist.org/tor/mad/d/crown-berkey-water-filter/6772924664.html
1089,Dell D3000 0J22N2 ACP075US Superspeed USB 3.0 HDMI DVI Laptop Docking,$55,https://toronto.craigslist.org/mss/sop/d/dell-d3000-0j22n2-acp075us-superspeed/6772823907.html
1090,ConairPRO Dog 2-in-1 Clipper/Trimmer Kit,$40,https://toronto.craigslist.org/mss/tls/d/conairpro-dog-2-in-1-clipper-trimmer-kit/6770839151.html
1091,ARX ASURO Robot New in the box,$80,https://toronto.craigslist.org/tor/ele/d/arx-asuro-robot-new-in-the-box/6748381930.html
1092,DOWNSIZING SALE OF A BAYVIEW TOWNHOME!,$0.00,https://toronto.craigslist.org/tor/gms/d/north-york-downsizing-sale-of-bayview/6771452699.html
1093,Professional Butcher's or Carver's Chainmail glove,$50,https://toronto.craigslist.org/tor/hsh/d/east-york-professional-butchers-or/6771268838.html
1094,Infinitude Professional Hair Extensions Wholesale and Retail,$0.00,https://toronto.craigslist.org/yrk/had/d/markham-infinitude-professional-hair/6771067587.html
1095,infiniti saab mitsubishi lexus navigation bluetooth dvd,$399,https://toronto.craigslist.org/tor/ptd/d/unionville-infiniti-saab-mitsubishi/6770940372.html
